Comment ID,Customer Comment,Category
1,Produit pas cher mais de mauvaise qualité.,Problème de Commande
2,"Le produit est arrivé plus tôt que prévu, super service.",Problème de Qualité
3,"Produit satisfaisant, mais livraison trop longue.",Problème de Commande
4,"Mauvais service client, aucune réponse à mes demandes.",Problème de Qualité
5,"Le produit est arrivé plus tôt que prévu, super service.",Commentaire Positif
6,"Je n'ai pas reçu le bon produit, commande à revoir.",Service Client
7,"Le produit est arrivé plus tôt que prévu, super service.",Commentaire Positif
8,"La livraison était dans les temps, rien à signaler.",Problème de Commande
9,"Le produit est arrivé cassé, très déçu.",Commentaire Positif
10,"Je n'ai pas reçu le produit que j'ai commandé, très déçu.",Problème de Commande
11,"Le produit est arrivé plus tôt que prévu, super service.",Service Client
12,"Mauvais emballage, article endommagé à l'arrivée.",Problème de Qualité
13,"Emballage parfait, produit en excellent état.",Commentaire Positif
14,"Le produit est conforme à mes attentes, très satisfait.",Commentaire Positif
15,"Livraison très lente, je ne suis pas content du service.",Commentaire Positif
16,"Le produit est arrivé plus tôt que prévu, super service.",Problème de Livraison
17,"Livraison rapide, produit conforme à la description.",Problème de Qualité
18,"Produit de qualité, mais le prix est trop élevé.",Problème de Livraison
19,"Le produit est conforme à mes attentes, très satisfait.",Commentaire Positif
20,"Le produit est de très bonne qualité, je suis satisfait.",Commentaire Positif
21,Produit pas cher mais de mauvaise qualité.,Commentaire Positif
22,"Livraison rapide, produit conforme à la description.",Problème de Livraison
23,"Le produit est arrivé cassé, très déçu.",Problème de Livraison
24,"Livraison très lente, je ne suis pas content du service.",Problème de Commande
25,"Mauvais service client, aucune réponse à mes demandes.",Problème de Commande
26,"Produit de qualité, mais le prix est trop élevé.",Service Client
27,"Je n'ai pas reçu le produit que j'ai commandé, très déçu.",Commentaire Positif
28,"Produit de qualité, mais le prix est trop élevé.",Problème de Livraison
29,"Le produit est de très bonne qualité, je suis satisfait.",Problème de Livraison
30,"La livraison était dans les temps, rien à signaler.",Problème de Livraison
31,"Produit excellent, je recommande à tous.",Problème de Livraison
32,"Très mauvaise qualité, cassé après une utilisation.",Problème de Qualité
33,"Service client efficace et rapide, problème résolu.",Problème de Qualité
34,"Produit de qualité, mais le prix est trop élevé.",Problème de Qualité
35,"Produit excellent, je recommande à tous.",Problème de Qualité
36,"Le produit est conforme à mes attentes, très satisfait.",Service Client
37,"Le produit est arrivé plus tôt que prévu, super service.",Service Client
38,"Mauvais emballage, article endommagé à l'arrivée.",Commentaire Positif
39,"Livraison très lente, je ne suis pas content du service.",Problème de Qualité
40,"Produit excellent, je recommande à tous.",Service Client
41,"Emballage parfait, produit en excellent état.",Problème de Livraison
42,"Service client efficace et rapide, problème résolu.",Problème de Qualité
43,"Très content du service client, réactif et à l'écoute.",Service Client
44,"Le produit est arrivé cassé, très déçu.",Service Client
45,"Livraison rapide, produit conforme à la description.",Commentaire Positif
46,"Produit de qualité, mais le prix est trop élevé.",Problème de Commande
47,"Produit excellent, je recommande à tous.",Problème de Livraison
48,"Livraison rapide, produit conforme à la description.",Problème de Qualité
49,"Le produit est de très bonne qualité, je suis satisfait.",Commentaire Positif
50,"Très mauvaise qualité, cassé après une utilisation.",Commentaire Positif
51,"Très mauvaise qualité, cassé après une utilisation.",Problème de Qualité
52,"Produit satisfaisant, mais livraison trop longue.",Service Client
53,"Très content du service client, réactif et à l'écoute.",Problème de Commande
54,"Livraison très lente, je ne suis pas content du service.",Problème de Livraison
55,"Très mauvaise qualité, cassé après une utilisation.",Service Client
56,"Le produit est conforme à mes attentes, très satisfait.",Service Client
57,"Mauvais emballage, article endommagé à l'arrivée.",Commentaire Positif
58,"Problème avec la commande, erreur dans le produit reçu.",Commentaire Positif
59,"Emballage parfait, produit en excellent état.",Problème de Qualité
60,"Livraison très lente, je ne suis pas content du service.",Commentaire Positif
61,"Produit excellent, je recommande à tous.",Problème de Qualité
62,"Le produit est conforme à mes attentes, très satisfait.",Problème de Commande
63,"Je n'ai pas reçu le bon produit, commande à revoir.",Problème de Livraison
64,"Livraison très lente, je ne suis pas content du service.",Problème de Livraison
65,"Produit de qualité, mais le prix est trop élevé.",Commentaire Positif
66,"Le produit est de très bonne qualité, je suis satisfait.",Problème de Livraison
67,Produit pas cher mais de mauvaise qualité.,Commentaire Positif
68,"La livraison était dans les temps, rien à signaler.",Service Client
69,"Emballage parfait, produit en excellent état.",Commentaire Positif
70,"Produit satisfaisant, mais livraison trop longue.",Problème de Livraison
71,"Mauvais service client, aucune réponse à mes demandes.",Commentaire Positif
72,"Très content du service client, réactif et à l'écoute.",Service Client
73,"Service client efficace et rapide, problème résolu.",Problème de Qualité
74,"Je n'ai pas reçu le bon produit, commande à revoir.",Problème de Qualité
75,"Emballage parfait, produit en excellent état.",Problème de Commande
76,"Je n'ai pas reçu le produit que j'ai commandé, très déçu.",Problème de Qualité
77,"Le produit est de très bonne qualité, je suis satisfait.",Commentaire Positif
78,"Produit excellent, je recommande à tous.",Problème de Qualité
79,"Produit satisfaisant, mais livraison trop longue.",Problème de Qualité
80,"La livraison était dans les temps, rien à signaler.",Problème de Qualité
81,"Le produit est de très bonne qualité, je suis satisfait.",Commentaire Positif
82,"Problème avec la commande, erreur dans le produit reçu.",Problème de Livraison
83,"Produit satisfaisant, mais livraison trop longue.",Commentaire Positif
84,"Très content du service client, réactif et à l'écoute.",Service Client
85,"Le produit est arrivé cassé, très déçu.",Problème de Commande
86,"Le produit est arrivé cassé, très déçu.",Service Client
87,"Emballage parfait, produit en excellent état.",Problème de Commande
88,"Mauvais emballage, article endommagé à l'arrivée.",Problème de Qualité
89,"Le produit est arrivé cassé, très déçu.",Commentaire Positif
90,"Mauvais service client, aucune réponse à mes demandes.",Service Client
91,"Emballage parfait, produit en excellent état.",Service Client
92,"La livraison était dans les temps, rien à signaler.",Commentaire Positif
93,"Très content du service client, réactif et à l'écoute.",Service Client
94,"Le produit est de très bonne qualité, je suis satisfait.",Commentaire Positif
95,"Emballage parfait, produit en excellent état.",Problème de Commande
96,"Produit satisfaisant, mais livraison trop longue.",Problème de Livraison
97,"Problème avec la commande, erreur dans le produit reçu.",Commentaire Positif
98,"Problème avec la commande, erreur dans le produit reçu.",Problème de Livraison
99,"Livraison rapide, produit conforme à la description.",Problème de Livraison
100,"Emballage parfait, produit en excellent état.",Commentaire Positif
101,"Je n'ai pas reçu le bon produit, commande à revoir.",Problème de Qualité
102,"Livraison rapide, produit conforme à la description.",Problème de Qualité
103,Produit pas cher mais de mauvaise qualité.,Problème de Livraison
104,"Je n'ai pas reçu le produit que j'ai commandé, très déçu.",Service Client
105,"Le produit est de très bonne qualité, je suis satisfait.",Commentaire Positif
106,"Je n'ai pas reçu le produit que j'ai commandé, très déçu.",Problème de Commande
107,"Livraison très lente, je ne suis pas content du service.",Service Client
108,"Mauvais service client, aucune réponse à mes demandes.",Problème de Qualité
109,"Problème avec la commande, erreur dans le produit reçu.",Service Client
110,"Très mauvaise qualité, cassé après une utilisation.",Service Client
111,"Je n'ai pas reçu le bon produit, commande à revoir.",Problème de Qualité
